sampling_point_id,begin_position,end_position,value,verification_flag,validation_flag
SPO-AD0942A-9072,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0,3,1
SPO-AD0942A-9072,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0,3,1
SPO-AD0942A-9072,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,4,3,1
SPO-AD0942A-9072,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,49,3,1
SPO-AD0942A-9072,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-9060,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0,3,1
SPO-AD0942A-9060,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0,3,1
SPO-AD0942A-9060,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0,3,1
SPO-AD0942A-9060,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0,3,1
SPO-AD0942A-9060,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,0,3,1
SPO-AD0942A-9060,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,0,3,1
SPO-AD0942A-9060,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-0038,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,3.8,3,1
SPO-AD0940A-0038,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,3.6,3,1
SPO-AD0940A-0038,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,30.1,3,1
SPO-AD0940A-0038,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,107,3,1
SPO-AD0940A-0038,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,340.2,3,1
SPO-AD0940A-0038,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,276,3,1
SPO-AD0940A-0038,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-0008,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,31.5,3,1
SPO-AD0940A-0008,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,29.5,3,1
SPO-AD0940A-0008,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,61,3,1
SPO-AD0940A-0008,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,80.6,3,1
SPO-AD0940A-0008,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,130.5,3,1
SPO-AD0940A-0008,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,133.7,3,1
